name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha,resistance,stamina
abjurer,,9.0,humanoid (any race),Medium,12,84,,any alignment,,Volo's Guide to Monsters,,,,,,,Ice,4
aboleth,https://www.aidedd.org/dnd/monstres.php?vo=aboleth,10.0,aberration,Large,17,135,swim,lawful evil,Legendary,Monster Manual (SRD),21.0,9.0,15.0,18.0,15.0,18.0,Piercing,3
abominable-yeti,,9.0,monstrosity,Huge,15,137,,chaotic evil,,Monster Manual,,,,,,,Piercing,2
acererak,,23.0,undead,Medium,21,285,,neutral evil,,Adventures (Tomb of Annihilation),,,,,,,Piercing,4
adult-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-black-dragon,14.0,dragon,Huge,19,195,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),23.0,14.0,21.0,14.0,13.0,17.0,Piercing,2
adult-blue-dracolich,,17.0,undead,Huge,19,225,fly,lawful evil,Legendary,Monster Manual,,,,,,,Piercing,2
adult-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-blue-dragon,16.0,dragon,Huge,19,225,fly,lawful evil,Legendary,Monster Manual (SRD),25.0,10.0,23.0,16.0,15.0,19.0,Piercing,2
adult-brass-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-brass-dragon,13.0,dragon,Huge,18,172,fly,chaotic good,Legendary,Monster Manual (SRD),23.0,10.0,21.0,14.0,13.0,17.0,Piercing,2
adult-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-bronze-dragon,15.0,dragon,Huge,19,212,"fly, swim",lawful good,Legendary,Monster Manual (SRD),25.0,10.0,23.0,16.0,15.0,19.0,Piercing,2
adult-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-copper-dragon,14.0,dragon,Huge,18,184,fly,chaotic good,Legendary,Monster Manual (SRD),23.0,12.0,21.0,18.0,15.0,17.0,Piercing,2
adult-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-gold-dragon,17.0,dragon,Huge,19,256,"fly, swim",lawful good,Legendary,Monster Manual (SRD),27.0,14.0,25.0,16.0,15.0,24.0,Piercing,2
adult-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-green-dragon,15.0,dragon,Huge,19,207,"fly, swim",lawful evil,Legendary,Monster Manual (SRD),23.0,12.0,21.0,18.0,15.0,17.0,Piercing,2
adult-kruthik,,2.0,monstrosity,Medium,18,39,,unaligned,,Mordenkainen's Tome of Foes,,,,,,,Piercing,4
adult-oblex,,5.0,ooze,Medium,14,75,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Blunt,4
adult-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-red-dragon,17.0,dragon,Huge,19,256,fly,chaotic evil,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,13.0,21.0,Piercing,2
adult-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-silver-dragon,16.0,dragon,Huge,19,243,fly,lawful good,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,13.0,21.0,Piercing,2
adult-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-white-dragon,13.0,dragon,Huge,18,200,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),22.0,10.0,22.0,8.0,12.0,12.0,Piercing,2
air-elemental,https://www.aidedd.org/dnd/monstres.php?vo=air-elemental,5.0,elemental,Large,15,90,fly,neutral,,Monster Manual (SRD),14.0,20.0,14.0,6.0,10.0,6.0,Slashing,3
air-elemental-myrmidon,,7.0,elemental,Medium,18,117,fly,neutral,,Mordenkainen's Tome of Foes,,,,,,,Slashing,4
alhoon,,10.0,undead,Medium,15,120,,any evil alignment,,Volo's Guide to Monsters,,,,,,,Piercing,4
alkilith,,11.0,fiend (demon),Medium,17,157,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,4
allip,,5.0,undead,Medium,13,40,fly,neutral evil,,Mordenkainen's Tome of Foes,,,,,,,Piercing,4
allosaurus,https://www.aidedd.org/dnd/monstres.php?vo=allosaurus,2.0,beast,Large,13,51,,unaligned,,Monster Manual (SRD),19.0,13.0,17.0,2.0,12.0,5.0,Slashing,3
amnizu,,18.0,fiend (devil),Medium,21,202,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,4
ancient-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-black-dragon,21.0,dragon,Gargantuan,22,367,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),27.0,14.0,25.0,16.0,15.0,19.0,Piercing,1
ancient-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-blue-dragon,23.0,dragon,Gargantuan,22,481,fly,lawful evil,Legendary,Monster Manual (SRD),29.0,10.0,27.0,18.0,17.0,21.0,Piercing,1
